id,名字,类别,图标,初始占领门派,相邻地点,初始等级,背景类型,皮肤编号,x翻转,特产
0,京城,城市,京城,4,"20,27,29,40,33,61,46",5,3,3,1,棋谱
1,杭州,城市,杭州,0,"30,52,14,11,24",3,1,3,-1,字帖
2,福州,城市,福州,9,"32,13,39,26,62",2,1,0,1,木材 矿料
3,大理,城市,大理,14,"12,58,10,16,44",2,4,3,1,食材 毒物
4,幽州,城市,幽州,5,"57,27,23,65",1,2,3,-1,香炉
5,晋阳,城市,晋阳,10,"59,20,28,40",2,1,2,-1,画本
6,成都,城市,成都,1,"10,31,45,22",3,5,2,1,酒器
7,西凉,城市,西凉,12,"18,17,19,42,51",1,2,3,1,珠玉
8,江陵,城市,江陵,11,"55,41,29,39,13",4,3,2,1,史书
9,扬州,城市,扬州,16,"46,30,25,65",4,1,1,1,服饰
10,乐山镇,村镇,村镇,8,"3,58,6,38,55",3,5,0,-1,无
11,太平乡,村镇,村镇,6,"1,36,53,47",1,0,1,1,无
12,剑川镇,村镇,村镇,14,"37,3,64",0,4,0,1,无
13,清远乡,村镇,村镇,2,"2,8,63",0,4,2,1,无
14,富阳镇,村镇,村镇,6,"25,36,1,52",0,0,3,-1,无
15,那曲乡,村镇,村镇,18,"48,49,66,68",0,6,1,-1,无
16,玉溪村,村镇,村镇,8,"3,38,50,63",0,4,0,-1,无
17,灵台村,村镇,村镇,15,"7,45,31,18,66",1,6,2,-1,无
18,酒泉村,村镇,村镇,19,"7,17,49,51,66",0,6,0,-1,无
19,陇西县,村镇,村镇,15,"34,42,22,7,45,54",2,2,1,1,无
20,河内乡,村镇,村镇,4,"40,0,34,5",1,3,0,1,无
21,昌都镇,村镇,村镇,7,"37,48,60,64",1,6,2,-1,无
22,巴陵村,村镇,村镇,25,"6,19,54,41,55",0,5,0,1,无
23,怀柔村,村镇,村镇,13,"4,43",1,2,1,-1,无
24,当涂镇,村镇,村镇,0,"1,33,30,62,67",0,1,2,1,无
25,高邮镇,村镇,村镇,16,"9,14,52,56,65",0,1,1,-1,无
26,宁化乡,村镇,村镇,17,"2,47",1,0,0,-1,无
27,襄垣村,村镇,村镇,5,"0,4,35,46,40,57",0,3,1,1,无
28,武邑乡,村镇,村镇,10,"5,57",0,2,0,1,无
29,云梦乡,村镇,村镇,3,"0,33,8,61,67",1,3,1,1,无
30,长乐帮,门派,长乐帮,0,"1,9,24",0,1,3,1,无
31,唐门,门派,唐门,1,"6,17,58,68",0,5,2,1,无
32,药王谷,门派,药王谷,2,"2,63",0,4,0,1,无
33,丐帮,门派,丐帮,3,"0,24,29,67",0,3,1,-1,无
34,飞龙门,门派,飞龙门,4,"19,20,61",0,2,2,-1,无
35,茅山派,门派,茅山派,5,"27,65",0,0,3,1,无
36,铸剑山庄,门派,铸剑山庄,6,"53,11,14",0,0,0,1,无
37,五毒教,门派,五毒教,7,"12,21",0,4,1,-1,无
38,阎罗殿,门派,阎罗殿,8,"10,16,63",0,5,0,1,无
39,大隐阁,门派,大隐阁,9,"8,2,67",0,0,1,-1,无
40,少林寺,门派,少林寺,10,"0,5,27,20",0,3,3,1,无
41,武当派,门派,武当派,11,"8,22,61",0,0,2,-1,无
42,霸刀门,门派,霸刀门,12,"59,19,7",0,2,0,-1,无
43,蓬莱派,门派,蓬莱派,13,"23,65",0,1,0,1,无
44,峨眉派,门派,峨眉派,14,"3,64",0,5,3,-1,无
45,崆峒派,门派,崆峒派,15,"17,19,6",0,5,3,1,无
46,神机门,门派,神机门,16,"0,9,27",0,5,2,-1,无
47,霹雳堂,门派,霹雳堂,17,"26,11,53,62",0,0,2,1,无
48,金刚密宗,门派,金刚密宗,18,"15,21,60",0,6,2,1,无
49,天山派,门派,天山派,19,"15,18",0,6,1,1,无
50,聚义门,门派,普通门派,20,"16,63",0,4,1,1,无
51,黄河帮,门派,普通门派,21,"7,18",0,2,3,-1,无
52,八卦门,门派,普通门派,22,"25,1,14",0,1,3,-1,无
53,海沙帮,门派,普通门派,23,"47,11,36",0,0,0,1,无
54,铁掌帮,门派,普通门派,24,"19,22,61",0,3,2,-1,无
55,仙霞派,门派,普通门派,25,"22,8,10",0,5,1,-1,无
56,巨鲸帮,门派,普通门派,26,"25,65",0,1,0,1,无
57,金龙帮,门派,普通门派,27,"4,27,28",0,2,2,1,无
58,青城派,门派,普通门派,28,"3,31,10",0,5,1,1,无
59,伏牛派,门派,普通门派,29,"5,42",0,2,2,1,无
60,逻娑,城市,逻娑,18,"48,21,64,68",1,6,3,1,药引
61,朱仙镇,村镇,村镇,11,"0,29,34,41,54",3,3,3,-1,无
62,景德镇,村镇,村镇,17,"2,24,47,67",2,0,1,1,无
63,佛山镇,村镇,村镇,2,"13,16,32,38,50",2,4,3,-1,无
64,腾冲府,村镇,村镇,7,"12,21,44,60",0,4,2,-1,无
65,板桥镇,村镇,村镇,13,"4,9,25,35,43,56",2,1,2,-1,无
66,灵州,城市,灵州,19,"15,17,18,68",1,6,0,1,乐器
67,应天,城市,应天,3,"24,29,33,39,62",3,3,2,-1,典籍
68,墨脱县,村镇,村镇,1,"15,31,60,66",1,6,3,-1,无
