原武功,替换icon
热炎功,十三太保横练
百炼功,石锁功
千锤功,胸口碎大石
杀意心法,闪战法
苦海魔功,黑火药法
如影随形,隐匿术
血脉逆行,柔身术
霸王卸甲,炼狱破天劲
铁砂掌,莲花掌
凝血指,天竺佛指
摧心掌,昊天掌
绝户爪,少林龙爪手
血手印,合盘掌
鬼哭拳,沾衣十八跌
朱砂掌,铁蒲扇手
钟馗斩妖剑,真武荡魔剑
战八方藏刀式,镇魔斩妖刀
笑里藏刀式,螳螂刀法
袖里藏刀,雁行刀
四门刀法,铁门闩刀法
斩马刀法,升天斩
百战刀法,五虎断门刀
红眼刀法,长乐刀法
鬼面刀法,刑场刀法
夺命追魂刀,荡寇刀法
修罗刀法,两仪刀法
天玄七煞刀,空空玄玄刀
饮血魔刀,雾隐云龙刀
金刚降魔刀,万壑刀法
阿鼻八刀,八面破身刀
牛头钢叉功,搬山铁耙功
吉祥如意棍,醉八仙棍法
打狗八绝棍,当头棒喝
泣血戈术,问天枪诀
碧血洗银枪,小夜叉棍法
夺命鞭法,蝎尾鞭
盘根错节斧,伏魔铲法
判官笔法,丹青破穴
咽喉骨鲠法,鬼打狂鞭
三昧真火,金刚降魔杵
情花蛊,生花妙笔
裴将军功,子午鸳鸯钺
金鳞巨蟒鞭,五蟒狂鞭
铁链飞爪,五子追心箭
赤链蛇锥,碧磷针
阴冥砂,孟婆散
阎王帖,棋盘四式
善恶镖,长乐散
错骨钩,元戎弩箭
穿心钉,无影神针
碎颅钉,甩袖箭
七星透骨钉,三寸钉
朱蟾砂,铜蟾蜍
断魂砂,观音泪
饮血针,牛毛针
赤炼神针,腐骨针
鹤顶红,含沙射影
黑血神针,玉蜂针
金蚕王蛊,孔雀翎
呕血坐隐功,追魂魔针
蚩尤鬼降,踏雪无痕
